,0
297,"Beautiful facility, with incredibly attentive staff, especially at the concierge desk."
298,The fitness room was awesome
299,Best in Las Vegas!
300,Staff was very accomodative
301,"Rooms amazing, Spa"
302,Great hotel! Love it!!!
303,"location, location, location1"
304,"Staff polite and knowledge   No signs saying you could not do something
Loved the ""power"" drapes"
305,Loved the bed and comforter
306,"Cousy room, cleanses, not noise, over all the property is very nice."
307,Well maintained. Large rooms. Clean
308,"The room is clean, the facility is brand new and the decorations in lobby are beautiful."
309,Location & Luxury
310,great hotel! wonderful room ! best of the best !
311,"Great hotel, very impressive. Great room (salon suite)."
312,"Superb service, 5 stars hotel, got everything I could wish for!"
313,"Amazing hotel, rooms, facilities, cleanliness was faultless"
314,We liked everything in the hotel
315,EVERYTHING.. in my opinion this was the best hotel in Las Vegas!
316,The breakfast buffet was
317,Tutto!!!!!! Everything!!!
318,The need to more places for kids to play and witing area
319,Best hotel in Vegas
320,Luxury
321,Great service. Amazing facilities. Good sized room. Very luxurious.
322,The hospitality was incredible
323,everything
324,"Excellent customer service in every depr, bellman waitstaff,housekeeping,"
325,Excellent beautiful
326,Everything
327,"Pool area is really nice!
Flower decoration in the lobby is absolutely beautiful!!"
328,everything is good !
329,Absolutely perfect !!!
330,"Great pool area, nice big room and very good gym. Excellent breakfast as well."
331,Everything was amazing
332,Everything about the hotel is the beautiful the room are fantastic
333,THE CLEANLINESS AND FRIENDLINESS OF THE STAFF. THE WHOLE DEAL REALLY.
334,Nice
335,"Eggs benedict at the Encore
The shows: La Reve!"
336,"Beautiful hotel, great rooms with excellent services."
337,very family friendly
338,The rooms and the view amazimh
339,Rooms were spacious and luxurious
340,Location
341,"Extra comfy bed, great staff"
342,Grate value
343,Everything
344,"Cleanliness, staff the whole ambiance vey nice hotel and would definitely go back."
345,beds were so soft and deluxe
346,The vibes
347,the colors
348,we liked all hotel design and room was very comfortable.
349,We liked everything. It is a complex with all amenities needed for ypur vacations.
350,"Bellmen very fast and efficient, great housekeeping service, comfortable beds, clean hallways, everything about the Wynn this trip was perfect."
351,Everything
352,I loved the big window with the excellent view from our hotel room.
353,great breakfast buffet. and good gym.
354,The pool was awesome!
355,Best hotel in vegas
356,Bed was great. View was spectacular. All amenties first rate
357,The eggs benedict breakfast which we enjoyed in the room was amazing.
358,Cleanliness
359,Unbelievable hotel. Thoroughly enjoyed the stay. The Wynn is the best all round hotel I have ever stayed in.
360,Service was amazing. I was in shock compared to the other places i have stayed. Like a dream.
361,Fantastic hotel. Great pool. Friendly and helpful staff. Lots to do around hotel and easily accesible
362,"Bed, food,  accommodations were excellent!"
363,One of the very best resorts
364,Comfortable
365,The room was amazing!!  The lobby and interior was lovely with the colorful flowers!  LOVED our stay and will return.
366,"Excellent customer service!
Clean and well decorated room, GREAT BUFFET!"
367,Everything is perfect! My family loves this casino the best.
368,"Very accessible, quick check-in, great facilities, helpful staff but everything comes at a cost."
369,"The buffet is amazing. Hotel is more organize, quite and too busy compare to other hotels."
370,Amazing hotel
371,"First class hotel. Comfortable bed, great view."
372,Everything about the Wynn is first class! The staff is extremely professional and polite and the property itself is gorgeous!
373,"Great facilities, awesome food."
374,"Facility, the room, cleanliness, the panoramic view from 58th floor"
375,"Fantastic hotel! Great service, lovely pool and relaxed casino - a break from the chaos of the other resorts in Vegas."
376,Hotel was pretty. Mizumi sushi was very good.
377,Bed was comfy and bathroom was spacious!
378,"Luxury, loved it here! Didn't have to leave hotel!"
379,Well sized room and Great barhroom
380,"The rooms were incredible, with a wonderful view and the staff were always helpful. The encore pool party was the best one ive been to!"
381,The Wynn was one of the best hotels where I have ever stayed and I travel all the time. The room was beautiful and everything was working perfectly.
382,Bed amazing as was room - pure luxury!
383,Very beautiful hotel. The swimming pool is really nice.
384,Loved everything. Will be back
385,Just perfect
386,Wynn hotel provided ultimate luxury and sophistication.
387,Definately stay at the Wynn it is superb
388,The vieuw  at the strip. A amazing beautifull room
389,Amazing rooms - spacious and very comfortable.
390,The maid service was excellent
391,"Wonderful bathtub, gorgeous view, all restaurants were amazing!"
392,Great amazing wonderful
393,Rooms were fantastic
394,The stores
395,Beautiful property great rooms. Friendly staff.
396,👍
397,Wynn is a premier Vegas hotel.
398,Location and amenities
399,Beautiful pool area and hotel. Saw a great show John Fogerty
400,Beautiful hotel and facilities
401,Very comfortable. not a stuffy atmosphere
402,Clean
403,Food venues very good quality
404,Flowers! Also a vegan food in each restaurant! And show le reve is amazing
405,Overall our stay was very pleasant
406,buffet was awesome
407,Restaurants are Great. The place is clean and has a Nice Crowd.
408,Class of people the hotel attracts and the great attitude of the employees.
409,"perfect hotel, it worth it"
410,Nice and clean rooms
411,The costumer service there are  excellen and sweet❤
412,Bed was great. Food awesome.
413,Great hospitality!
414,The decor and the food
415,The view was amazing
416,Everything
417,"I really like the decoration of the hotel! It was very beautiful, and great experience to stay!"
418,"Great staff, hotel, location"
419,"I liked the room, the view the location"
420,"Wazuzu, The Buffet, room automation controls."
421,Overall the best hotel in Vegas.
422,Bruch
423,"Booked only one night and got complimentary upgrade to gorgeous suite, it was perfect"
424,👎🏻
425,"There facility awesome and also staff nice to us , I appreciate that."
426,Good value for money. Great food and service. Great location.
427,Still by far the best Hotel in Las Vegas
428,"Everything was so awesome,
We'll never forget that hotel"
429,It's pretty and clean. Great strip view from our room
430,Beautiful place and decor
431,Everything and everyone is awesome at this hotel...perfect
432,Always a gorgeous place to stay!
433,Happy vibes
434,I liked the layout. It was not complicated navigating around.
435,Everything was awesome
436,Comfort and personal service
437,All the food was tremendous.
438,The location and the ambience is the best on the strip
439,Every thing excellent
440,Service was excellent in all ways. Highly recommend!
441,Casino and the place
442,comfort of room
443,Variety and quality of restaurants
444,"Great location, nice room"
445,Great view from our room.
446,Very nice hotel in center of Vegas!
447,Everything
448,All was perfect
449,"Fantastic rooms, beds etc with the best ever views over the City."
450,Very comfy bed and we had a great view of the strip.
451,"Amazing hotel, amazing location - Great facilities"
452,Clean and cozy
453,I loved the hotel and the casino which was much classier than most. It was very comfortable and enjoyable. It spoiled me for other hotels.
454,"Comfortable Beds, great rooms"
455,The best hotel I've ever stayed in. Staff fantastic location brillant and hotel itself amazing. Better then the Bellagio
456,Breakfast in Tableau. The room upgrade to Tower suites.
457,"Amazing hotel, lots to do, swimming pools are just massive. The buffet has super good food. Really enjoyed our stay at the Wynn."
458,All the stuff was awesome very kind and very helpful
459,Ambiance
460,Very classy room and hotel decor was fantastic.
461,"Huge rooms, attentive staff"
462,"everything is awesome but not the check-in, it took a long time waiting(like half an hour)"
463,"Close to the fashion mall 
Very big room"
464,Everything
465,"you pay for everything, and you can get everything"
466,The vibrant decoration at Lobby and variety of brunch at the buffet.
467,"Supportive staff, great buffet and hotel environment. The department just cross the stripe and the CVS on the cross is also plus for the location."
468,The pool and view from room was amazing!
469,the bed is like a cloud. the bathroom is clean and full of function
470,The location the hotel was very clean excellent value for the money
471,Very good Hotel. Location is good
472,Beautiful
473,Size of room and automation of lights/drapes
474,Probably the best in Vegas
475,"Everything was spotless, Staff from Casino floor to Concierge were extremely polite and helpful. Loved my stay and will definitely stay again."
476,Excellent
477,"Great location, fabulous hotel over All"
478,Would have liked some more treats in the room!
479,The bathroom layout
480,Rooms were big and the hotel is a great location
481,"Great hotel, would go here again."
482,"Spacious room, lots of branded stores"
483,"Good location, nice hotel"
484,Room size
485,Love the professional staff and large room!
486,"EVERYTHING !!
CLEAN, COMFORTABLE,  STAFF HELPFUL AND VERY PRESENTABLE.  COULDN'T FAULT IT.  VIEW WAS AMAZING."
487,Nothing
488,Pool area good and large
489,everything was perdonalized...
490,Everything we could of wanted
491,The room was amazing
492,The elegance and decor
493,The bed
494,"Casino, pool , rooms and restaurants were amazing!  Went to other hotels and they no way measured up to the Wynn !"
495,"Fraud ad, rude services."
496,Overall had a good experience
497,No smoking.  Clean air inside.  Convent restaurants.  Large windows.
498,The rooms are wonderful
499,Great location at one of the best casinos
500,Location
501,The staff was friendly and helpful
502,Comfort
503,"Everything was great and I really enjoyed my staying. 
It was my second time staying at wynn"
504,swimming pool
505,Everything
506,Everything was magnificent. Definitely the best in las vegas
507,"Had and excellent stay, everything was spot on. We loved the beds."
508,Everything is amazing!!!
509,One of the top hotel
510,The room is very nice
511,Hotel was a great
512,"Great swimming pool, nice room decoration and control"
513,Everything
514,"Layout of hotel and sense of occasion.  The rooms were spacious, very well appointed and allowed us to relax!"
515,"Big suite , quite , comfortable"
516,"Design, service"
517,"The frendly treatment, the hotel environment ."
518,Perfect rooms perfect facility everything and everywhere was very clean
519,Bed was very comfortable
520,"clean spacious rooms, nice breakfast, location"
521,Excellent service
522,The room was large and had good view
523,The food and service was amazing!
524,"Location, luxury"
525,The room was beautiful
526,"The rooms, the food, everything"
527,Pool was very good. Casino was not full we can play well.
528,Spacious and luxurious rooms
529,"everything about this hotel is nice, no reason to stay anywhere else"
530,The bed is super comfy
531,"nice staff, wonderful room, great vegan options in the hotel restaurnts"
532,The room was nice and cozy. Light bright and clean.
533,Would not change a thing
534,The place is amazing love the service and very clean
535,Service at pool was outstanding
536,Excellent. Felt like a king from my room with beautiful view over the strip.
537,Amazing hotel. The attention to detail was exceptional. But the staff are fantastic and make you feel very welcome.
538,Just a great hotel. Fab rooms - lovely bath and shower - great views!
539,Highest service level.
540,Beautiful Hotel
541,All facilities restaurants concierge pool
542,The size of the room. The quality and the staff
543,"The staff were exceptional: well-trained, friendly and professional."
544,I love the view I had. Luxury
545,Location and room
546,service
547,the high quality
548,everything was great
549,"The rooms are generous and beautifully decorated.  Great views!
Loved the golf course and pool areas"
550,This was the best hotel I have ever been to. And I traveled a lot. Very recommended.
551,One of the best property in Vegas. Everything was complete in itself.
552,EVREYTHING
553,"Bed, restaurants, casino"
554,"spacious room with modern furniture, helpful staff, great casino"
555,"Would highly recommend upgrading to the Tower Suites, the views are incredible. This hotel would appeal to anyone, young or old. It's fabulous."
556,Great resort very convenient beside the resort offer anything
557,"Best hotel in Vegas. Facilities, pool and restaurants are great."
558,The Nigth clubs and The pool .
559,"Great location and amazing hotel, everything about this hotel is just GREAT."
560,"Excellent staff, great room, comfy bed. Amazing hotel what more can be said!"
561,"Great hotel and staff. The hotel was clean and   very nice. Great location, shopping and food!"
562,Very clean
563,"Comfortable room, pleasant staff"
564,The cleanliness of the room and view were amazing.
565,The bed and  the bathroom.
566,"Every thing was perfect , the best hotel ever. 
As an advice, fight for a tower room. It was an amazing experience."
567,Everything!
568,"Ambience, has the best club"
569,Everything from the check-in counter to the room to the facilities. It was wonderful.
570,The room was great
